CSRepetitions-PT-03; otf-ldd-sat; 1; 0.69; 134074721
TokenRing-PT-010-rf; ldd-sat; 4; 0.105015; 58905
HypertorusGrid-PT-d2k1p8b00; ldd-chaining; 1; 0.192964; 87552
SwimmingPool-PT-02-rf; bdd-sat; 2; 8.333599; 3408031
DES-PT-02b; ldd-sat; 8; 0.871927; 7102090697584424960
CircadianClock-PT-000001; ldd-chaining; 1; 0.018019; 128
PermAdmissibility-PT-01-rf; ldd-par; 1; 3.400368; 52537
Raft-PT-04-rf; bdd-sat; 2; 0.054839; 2965858466581
Angiogenesis-PT-20; rf-otf-ldd-sat; 1; 1200; -1
CloudDeployment-PT-2b; rf-otf-ldd-sat; 8; 7.43; 167657654522
SimpleLoadBal-PT-02; otf-ldd-sat; 8; 0.15; 832
DLCshifumi-PT-5a; rf-otf-ldd-sat; 4; 1200; -1
SmallOperatingSystem-PT-MT0064DC0032-rf; mdd-sat; 1; 0.580463; 9133641
BridgeAndVehicles-PT-V20P20N10; otf-ldd-sat; 1; 314.83; 6732570
CloudDeployment-PT-6a; ldd-sat; 8; 2.739681; 8304696129
SmallOperatingSystem-PT-MT4096DC2048; otf-ldd-sat; 4; 1200; -1
AutoFlight-PT-04a; otf-ldd-sat; 16; 0.2; 3332017
DNAwalker-PT-02track12Block2-rf; ldd-chaining; 16; 0.038751; 5459
CircularTrains-PT-024; rf-otf-ldd-sat; 1; 0.26; 86515
SimpleLoadBal-PT-10; bdd-sat; 2; 576.558815; 406034376
DES-PT-20b; bdd-sat; 8; 15.985346; 8227725159067240366080
RwMutex-PT-r0010w0500-rf; ldd-par; 2; 14.340316; 1524
ParamProductionCell-PT-2-rf; ldd-par; 1; 12.790791; 349874
AutoFlight-PT-12a-rf; ldd-chaining; 4; 1200; -1
Dekker-PT-010; rf-otf-ldd-sat; 2; 0.13; 6144
Solitaire-PT-SqrCT5x5-rf; bdd-sat; 1; 834.43608; 174458198
GPPP-PT-C0001N0000000010; ldd-par; 1; 0.385737; 1655346
ResAllocation-PT-R003C010-rf; ldd-par; 16; 0.033857; 823552
TriangularGrid-PT-4022; otf-ldd-sat; 2; 1200; -1
DNAwalker-PT-03track12BlockBoth; ldd-sat; 8; 0.025679; 5248
DNAwalker-PT-04track28LL-rf; bdd-sat; 8; 0.130666; 432884827
RwMutex-PT-r0010w0020; ldd-sat; 4; 0.052681; 1044
PhilosophersDyn-PT-03; otf-ldd-sat; 16; 0.18; 325
Vasy2003-PT-none; ldd-chaining; 2; 59.0569; 9794739147610899087360
Angiogenesis-PT-20; otf-ldd-sat; 1; 1200; -1
Diffusion2D-PT-D40N010; ldd-chaining; 4; 1200; -1
ERK-PT-000001-rf; ldd-chaining; 4; 0.016479; 13
Eratosthenes-PT-010-rf; ldd-par; 4; 0.011811; 32
SmallOperatingSystem-PT-MT0032DC0008-rf; ldd-par; 16; 0.106809; 166515
PhaseVariation-PT-D05CS100; rf-otf-ldd-sat; 16; 1200; -1
AutoFlight-PT-05a; bdd-sat; 4; 0.02881; 68179969
FMS-PT-010-rf; bdd-sat; 1; 0.03068; 2501413200
Angiogenesis-PT-01-rf; ldd-par; 8; 0.012415; 110
GPPP-PT-C1000N0000000100; otf-ldd-sat; 4; 1200; -1
Philosophers-PT-000050; ldd-sat; 4; 0.025827; 717897987691852578422784
ARMCacheCoherence-PT-none-rf; ldd-sat; 8; 6.90167; 320567601
SmallOperatingSystem-PT-MT4096DC2048; otf-ldd-sat; 1; 1200; -1
PolyORBNT-PT-S10J40; rf-otf-ldd-sat; 8; 1200; -1
AutoFlight-PT-03a; otf-ldd-sat; 16; 0.15; 157681
IBM5964-PT-none; ldd-chaining; 16; 0.088838; 15546
TCPcondis-PT-10; bdd-sat; 4; 97.275219; 13761971603
DES-PT-20b; otf-ldd-sat; 1; 89.79; 0
DES-PT-10b; otf-ldd-sat; 1; 20.54; 0
SmallOperatingSystem-PT-MT0064DC0032; rf-otf-ldd-sat; 1; 2.24; 9133641
ResAllocation-PT-R003C002; rf-otf-ldd-sat; 1; 0.01; 20
CircadianClock-PT-000100; rf-otf-ldd-sat; 16; 2.51; 42040402004
FMS-PT-002-rf; ldd-chaining; 1; 0.017987; 3444
TCPcondis-PT-10; bdd-sat; 16; 40.352791; 13761971603
SmallOperatingSystem-PT-MT0128DC0032-rf; bdd-sat; 2; 1.109548; 113321065
CircularTrains-PT-024; ldd-chaining; 8; 0.052983; 86515
PolyORBLF-PT-S02J04T06-rf; bdd-sat; 1; 98.16402; 140754672
Eratosthenes-PT-020-rf; ldd-chaining; 4; 0.016741; 2048
DNAwalker-PT-04track28LL; rf-otf-ldd-sat; 2; 0.46; 432884827
SwimmingPool-PT-06; otf-ldd-sat; 1; 48.43; 1697442696
CloudDeployment-PT-4a; otf-ldd-sat; 4; 0.59; 7091029
GPPP-PT-C0001N0000000001; mdd-sat; 1; 0.002992; 10380
GPPP-PT-C0001N0000000001; rf-otf-ldd-sat; 16; 0.17; 10380
HypercubeGrid-PT-C4K3P3B12; rf-otf-ldd-sat; 1; 1200; -1
ParamProductionCell-PT-5; ldd-chaining; 2; 5.238991; 1657242
CSRepetitions-PT-03; bdd-sat; 1; 0.095902; 134074721
TriangularGrid-PT-1200; rf-otf-ldd-sat; 4; 0.82; 109552
RwMutex-PT-r0010w0500; bdd-sat; 1; 1.832655; 1524
SmallOperatingSystem-PT-MT8192DC2048; rf-otf-ldd-sat; 16; 1200; -1
